ASCII_code,Character,Number_of_occurences,Min_self_distance,Max_self_distance
32,' ',1537,2,10352
44,',',2,29,29
46,'.',200,27,10243
65,'A',25,30,9951
66,'B',1,,
67,'C',11,213,9269
68,'D',11,88,8834
69,'E',15,50,9654
70,'F',4,99,2012
71,'G',2,6802,6802
72,'H',3,1742,5586
73,'I',15,193,9413
74,'J',1,,
76,'L',10,129,10292
77,'M',10,43,6966
78,'N',15,46,9440
79,'O',5,846,8988
80,'P',16,70,8968
81,'Q',6,653,6542
82,'R',4,658,9300
83,'S',16,53,7334
84,'T',9,206,8269
85,'U',8,239,6686
86,'V',13,187,8598
97,'a',727,2,10341
98,'b',89,2,10226
99,'c',343,1,10321
100,'d',268,2,10327
101,'e',1001,1,10357
102,'f',59,11,10195
103,'g',132,4,10310
104,'h',45,4,9637
105,'i',844,2,10349
106,'j',4,134,5290
108,'l',452,1,10320
109,'m',390,1,10340
110,'n',491,2,10202
111,'o',336,2,10294
112,'p',195,5,10347
113,'q',125,4,10192
114,'r',499,1,10351
115,'s',775,1,10356
116,'t',777,1,10342
117,'u',727,2,10343
118,'v',148,2,10012
